Species Group,Extinction,Endangered,Threatened,Recovery,Not Listed,etc,Total
Flowering Plants,0,735,163,6,3681,128,4713
Birds,4,298,39,12,257,49,659
Snails,0,41,12,1,386,102,542
Clams,1,77,14,0,45,74,211
Mammals,1,325,49,23,304,44,746
Ferns and Allies,0,36,2,0,54,5,97
Insects,0,78,11,0,997,86,1172
Fishes,4,111,76,2,211,85,489
Reptiles,0,87,52,4,107,41,291
Crustaceans,0,24,4,0,139,83,250
Amphibians,0,28,16,0,73,44,161
Conifers and Cycads,0,1,5,0,16,3,25
Lichens,0,2,0,0,14,1,17
Corals,0,0,22,0,1,0,23
Annelid Worms,0,0,0,0,2,0,2
Flatworms and Roundworms,0,0,0,0,9,0,9
Arachnids,0,12,0,0,115,13,140
Hydroids,0,0,0,0,1,0,1
Millipedes,0,0,0,0,4,0,4
Sponges,0,0,0,0,7,0,7
